121.665;+11.396;008.287;+74.223;      70;00 30 03;+73 56 50;P;    2.1;    2.3;  1.1;    5.1; 3-11
121.862;+13.784;008.364;+76.618;      71;00 30 15;+76 20 34;P;    1.3;    1.9;  1.6;    6.4; 4-11
121.916;+13.946;008.544;+76.783;      72;00 30 57;+76 30 28;P;    1.4;    1.6;  1.2;    7.1; 4-11
122.183;+17.365;008.651;+80.212;      73;00 31 08;+79 56 12;P;    2.4;    2.7;  1.1;   10.5; 4-11
121.987;+14.196;008.773;+77.038;      74;00 31 50;+76 45 46;P;    1.0;    1.3;  1.3;    5.3; 4-11
122.248;+17.583;008.931;+80.434;      75;00 32 12;+80 09 31;P;    5.6;    7.3;  1.4;   24.9; 4-11
122.157;+15.859;009.051;+78.708;      76;00 32 49;+78 25 57;P;    1.6;    1.9;  1.1;    9.1; 4-11
120.955; -3.881;009.035;+58.932;      77;00 33 18;+58 39 24;P;   66.0;   63.8;  0.9;   34.1; 1-12
121.277; -0.217;009.261;+62.609;      78;00 34 09;+62 20 01;P;    6.2;    5.7;  0.9;    8.8; 2-12
121.358; +1.149;009.270;+63.976;      79;00 34 10;+63 42 05;P;    4.0;    3.3;  0.8;    5.0; 2-12
122.673;+22.716;009.759;+85.581;      80;00 34 15;+85 18 24;P;    1.4;    1.6;  1.2;    7.0; 5-11
121.207; -2.326;009.359;+60.499;      81;00 34 34;+60 13 27;P;   45.9;   43.2;  0.9;   34.3; 1-12
122.266;+16.145;009.505;+78.999;      82;00 34 34;+78 43 27;P;    1.0;    0.8;  0.8;    5.2; 4-11
121.551; +3.406;009.436;+66.241;      83;00 34 47;+65 57 59;P;    2.8;    4.0;  1.5;    6.1; 2-12
121.669; +4.958;009.528;+67.797;      84;00 35 07;+67 31 20;P;    4.2;    3.7;  0.9;    6.0; 2-12
121.678; +4.801;009.573;+67.641;      85;00 35 18;+67 21 58;P;    4.8;    4.1;  0.8;    7.3; 2-12
122.583;+20.743;009.930;+83.607;      86;00 35 34;+83 19 55;P;    1.0;    0.9;  0.9;    6.4; 5-11
121.873; +7.216;009.778;+70.062;      87;00 36 03;+69 47 15;P;   11.3;   11.9;  1.1;   26.4; 3-11
122.136;+12.237;009.835;+75.090;      88;00 36 06;+74 48 55;P;    6.1;    6.7;  1.1;   18.9; 3-11
122.241;+14.147;009.878;+77.002;      89;00 36 10;+76 43 40;P;    3.0;    3.7;  1.2;   14.7; 4-11
122.503;+18.690;010.095;+81.552;      90;00 36 35;+81 16 41;P;    2.1;    2.5;  1.2;   11.4; 4-11
122.174;+11.796;010.055;+74.651;      91;00 36 59;+74 22 35;P;    1.8;    2.2;  1.2;    5.1; 3-11
122.709;+21.972;010.561;+84.840;      92;00 37 36;+84 33 58;P;    3.8;    4.3;  1.2;   22.5; 5-11
121.801; +2.286;010.171;+65.134;      93;00 37 43;+64 51 35;P;    3.2;    3.7;  1.1;    5.3; 2-12
122.691;+21.526;010.567;+84.393;      94;00 37 47;+84 07 08;P;    1.2;    1.6;  1.4;    6.5; 5-11
122.540;+18.383;010.415;+81.248;      95;00 37 52;+80 58 25;P;    4.9;    6.3;  1.4;   26.5; 4-11
122.322;+13.141;010.403;+76.001;      96;00 38 17;+75 43 37;P;    3.1;    3.4;  1.1;    9.8; 3-11
122.126; +7.906;010.437;+70.763;      97;00 38 38;+70 29 19;P;    2.5;    3.3;  1.4;    6.6; 3-12
122.410;+14.293;010.583;+77.155;      98;00 38 55;+76 52 53;P;    4.1;    6.1;  1.6;   19.5; 4-11
122.534;+17.064;010.686;+79.929;      99;00 39 05;+79 39 17;P;    2.2;    2.7;  1.2;   11.0; 4-11
122.212; +8.923;010.585;+71.782;     100;00 39 11;+71 30 28;P;    2.1;    2.5;  1.1;    5.2; 3-11
122.832;+23.687;011.335;+86.557;     101;00 39 30;+86 17 02;P;    2.1;    1.9;  0.8;    9.0; 5-11
122.554;+16.825;010.838;+79.691;     102;00 39 42;+79 25 02;P;    1.5;    1.7;  1.2;    7.3; 4-11
122.217; +7.204;010.778;+70.064;     103;00 40 00;+69 47 26;P;    3.3;    3.8;  1.2;    7.2; 3-12
122.286; +8.507;010.860;+71.369;     104;00 40 17;+71 05 43;P;    3.4;    3.6;  1.1;    9.3; 3-12
121.895; -4.245;010.873;+58.610;     105;00 40 36;+58 20 12;P;    8.4;    9.8;  1.2;    8.0; 1-12
122.395;+10.872;010.977;+73.736;     106;00 40 39;+73 27 46;P;   15.2;   16.4;  1.1;   31.7; 3-11
121.974; -2.249;010.910;+60.609;     107;00 40 43;+60 20 06;P;    3.9;    3.7;  1.0;    7.0; 1-12
122.574;+15.504;011.147;+78.371;     108;00 41 02;+78 05 51;P;    1.9;    2.1;  1.0;    9.9; 4-11
122.306; +5.542;011.167;+68.405;     109;00 41 35;+68 07 55;P;   11.9;   12.7;  1.1;   19.4; 2-12
122.065; -2.969;011.134;+59.891;     110;00 41 37;+59 37 02;C;    5.6;    6.4;  1.2;    7.6; 1-12
122.253; +3.450;011.171;+66.313;     111;00 41 39;+66 02 21;P;   17.6;   18.4;  1.1;   26.6; 2-12
