053.578; -1.067;      89; 89; ; ; ;B;   ;03 31 46.0; 5;  ;-01 14.0;10; ;   19.5; ;  4.5; ; ;    ;    ;    ;2C 317, MSH 03-03
053.926;+13.182;      90; 90;); ; ;A;   ;03 32 56.0; 5;  ;+13 01.0;10; ;    9.0; ;  2.0; ; ;    ;    ;    ;
054.502;+51.013;      91; 91; ; ; ;A; ->;03 34 20.0; 2;  ;+50 51.0; 7; ;   14.0; ;  3.0; ; ;    ;    ;    ;
054.583;+29.930;      92; 92; ; ; ;A;   ;03 35 15.0; 2;  ;+29 46.0; 5;);   11.0; ;  2.0;); ;    ;    ;    ;
055.707; +5.192;      93; 93; ; ; ;A;   ;03 40 11.0; 4;  ;+05 02.0;10; ;   11.5; ;  2.5; ; ;    ;    ;    ;MSH 03+08
058.144; -7.135;      94; 94; ; ; ;A; ->;03 50 08.0; 3;  ;-07 17.0;10; ;   15.5; ;  4.0; ; ;    ;    ;    ;MSH 03-06
058.304; -9.669;      95; 95; ; ; ;B;   ;03 50 49.0; 6; v;-09 49.0;15;);    8.5; ;  2.0;); ;    ;    ;    ;MSH 03-110?
059.570;+14.776;      96; 96;); ; ;B;   ;03 55 28.0; 6; ^;+14 38.0; 8;);    9.0; ;  3.0; ; ;    ;    ;    ;
059.845;+49.075;      97; 97; ; ; ;A;   ;03 55 43.0; 4;  ;+48 56.0; 5;);   10.0; ;  2.0;); ;    ;    ;    ;2C 348 ^ ->?
059.743;+10.542;      98; 98; ; ;*;A;   ;03 56 14.0; 3;  ;+10 24.0; 5; ;   41.0; ;  9.0; ;<; 3.0;    ;    ;2C 349
060.267; +0.423;      99; 99; ; ; ;A;   ;03 58 30.0; 4;  ;+00 17.0; 7;);   14.5; ;  3.5; ; ;    ;    ;    ;MSH 03+012
060.440; -8.911;     100;100; ; ; ;A;   ;03 59 21.0; 4;  ;-09 03.0;12;);    8.5; ;  2.0;); ;    ;    ;    ;MSH 04-02?
060.705;+16.704;     101;101; ; ; ;B;   ;03 59 58.0; 3;  ;+16 34.0;10;);    9.0; ;  2.0;); ;    ;    ;    ;
060.715; -1.046;     102;102; ; ; ;B;   ;04 00 19.0; 4;  ;-01 11.0;10;);    9.0; ;  2.0; ; ;    ;    ;    ;MSH 04+02?
062.027;+43.016;     103;103; ; ;*;A;   ;04 04 38.0; 4;  ;+42 53.0; 4; ;   29.0; ;  6.0; ;<; 3.0;    ;    ;2C 361
061.977;+34.066;     104;104;); ; ;A;   ;04 04 41.0; 3;  ;+33 56.0; 8; ;    9.0; ;  3.5; ; ;    ;    ;    ;2C 357?
061.856; +3.716;     105;105; ; ; ;B;   ;04 04 48.0; 2;  ;+03 35.0; 7;);   12.5; ;  5.0; ; ;    ;    ;    ;MSH 04+03
062.843; +7.245;     106;106; ; ; ;B;   ;04 08 41.0; 6;  ;+07 07.0; 9;);    8.0; ;  2.0; ; ;    ;    ;    ;
063.116; -0.889;     107;107; ; ; ;A;   ;04 09 55.0; 3;  ;-01 01.0; 9;);   11.5; ;  2.5;); ;    ;    ;    ;MSH 04-06
063.390;+25.110;     108;108; ; ; ;A;   ;04 10 32.0; 6;  ;+24 59.0; 5; ;   10.0; ;  2.5; ; ;    ;    ;    ;
063.419;+11.376;     109;109; ; ;*;A;   ;04 10 55.0; 3;  ;+11 15.0; 4; ;   19.5; ;  3.0;); ;    ;    ;    ;2C 374 v ?
064.336; -5.745;     110;110; ; ; ;B;   ;04 14 53.0; 6;  ;-05 52.0;11;);    8.5; ;  2.5; ; ;    ;    ;    ;MSH 04-07?
064.606;+37.955;     111;111; ; ;*;A;   ;04 15 05.0; 2;  ;+37 50.0; 4; ;   60.0; ; 13.0; ;<; 4.0;    ;    ;2C 379
064.523; -2.929;     112;112; ; ; ;B;   ;04 15 35.0; 3;  ;-03 03.0;10; ;    8.0; ;  3.0; ; ;    ;    ;    ;MSH 04-08?
065.119;+11.069;     113;113; ; ; ;A; ->;04 17 43.0; 4;  ;+10 57.0; 9;);    9.5; ;  2.5; ; ;    ;    ;    ;
065.292;+17.835;     114;114; ; ; ;A;   ;04 18 17.0; 5;  ;+17 43.0;12; ;   12.5; ;  3.0; ; ;    ;    ;    ;
065.541;+34.850;     115;115;); ; ;B;   ;04 18 54.0; 7;  ;+34 44.0; 6; ;    9.5; ;  2.0;); ;    ;    ;    ;
065.892;+30.215;     116;116; ; ; ;B;   ;04 20 25.0; 3;  ;+30 06.0; 4;);   12.5; ;  2.0; ; ;    ;    ;    ;
066.080;+40.848;     117;117; ; ; ;B;   ;04 20 53.0; 5;  ;+40 44.0; 5;);   11.0; ;  2.0;); ;    ;    ;    ;
067.778; +1.007;     118;118; ; ; ;B;   ;04 28 32.0; 3;  ;+00 54.0;12; ;    8.5; ;  2.0;); ;    ;    ;    ;2C 395<-, MSH 04+07
068.152;+41.539;     119;119; ; ;*;A;   ;04 29 08.0; 3;  ;+41 26.0; 4;);   14.5; ;  2.5;); ;    ;    ;    ;2C 396
068.033; +2.022;     120;120; ; ; ;B;   ;04 29 32.0; 4;  ;+01 55.0; 8; ;   11.5; ;  2.5;); ;    ;    ;    ;
068.363; -8.863;     121;121; ; ; ;A;   ;04 31 03.0; 2;  ;-08 58.0;12;);   12.0; ;  2.5;); ;    ;    ;    ;MSH 04-012
